   32, 32
   33, ""
   34,84
   36, ""
   37, ""
   38,163
   39,83
   40,40
   41,41
   42, ""
   43,69
   44,44
   45,45
   46,46
   47,98
   48,48
   49,49
   50,50
   51,51
   52,52
   53,53
   54,54
   55,55
   56,56
   57,57
   58,79
   59,78
   60,106
   60,106
   61,114
   62, ""
   63, ""
   64, ""
   65,72 & 109
   66,103
   67,87
   68,65
   69,66
   70,67
   71,68
   72,94
   73,76
   74,100
   75,74
   76,89
   77,105
   78,102
   79,91
   80,81
   81,72 & 117
   82,67 & 117
   83,71
   84,68 & 117
   85,77
   86, ""
   87,115 & 70
   88,119
   89,96
   90,70
   91,85
   92, ""
   93,35
   94, ""
   95, "" 
   98,104
   99,97
   100,118
   101,109
   102,110
   103,112
   104,93
   105,75
   106,99
   107,73
   108,88
   109,107
   110,101
   111,90
   112,80
   113,117
   114,111
   115,152
   116,113
   117,108
   118,92
   119,120
   120,119
   121,95
   123,86
   124, ""
   125,82
   126,115
   146,44
   149,46
   163,38
